id_produto,nome_produto,categoria,preco_atual,ativo,qtd_vendida_total,qtd_vendida_30d,qtd_vendida_90d,receita_total,receita_30d,qtd_tickets_associados,qtd_tickets_30d,taxa_problema,qtd_avaliacoes,nota_media,pct_recomendam,qtd_visualizacoes,qtd_carrinho,taxa_conversao,classificacao,data_referencia_calculo
PROD-0014,Fone de Ouvido com Fio,Eletronicos,90.00,true,3898,15,58,275853.93,985.16,311,0,0.0798,674,3.64,72.26,103,135,37.8447,Problematico,2026-05-22
PROD-0015,Headset Gamer,Eletronicos,359.00,true,4099,16,78,1170252.62,4167.55,311,0,0.0759,710,3.57,70.85,109,149,37.6055,Problematico,2026-05-22
PROD-0016,Caixa de Som Bluetooth,Eletronicos,534.00,true,4003,11,49,1702337.08,4003.33,356,0,0.0889,730,3.62,72.19,119,151,33.6387,Problematico,2026-05-22
PROD-0017,Caixa de Som Portátil,Eletronicos,110.00,true,3945,20,51,340463.88,1525.28,323,0,0.0819,699,3.53,68.81,119,123,33.1513,Problematico,2026-05-22
PROD-0018,Barra de Som,Eletronicos,1466.00,true,4374,66,335,4801488.02,63545.77,184,0,0.0421,706,3.66,74.93,117,136,37.3846,Top Vendedor,2026-05-22
PROD-0019,Câmera Fotográfica Digital,Eletronicos,1509.00,true,4186,45,330,4703158.43,48269.16,177,0,0.0423,704,3.69,74.72,125,105,33.4880,Top Vendedor,2026-05-22
PROD-0020,Câmera de Segurança Wi-Fi,Eletronicos,494.00,true,3946,7,32,1542553.45,2590.34,313,0,0.0793,653,3.58,70.44,108,131,36.5370,Problematico,2026-05-22
PROD-0021,Projetor Full HD,Eletronicos,3607.00,true,7717,31,157,21351248.42,58740.60,611,0,0.0792,1297,3.51,69.47,123,140,62.7398,Problematico,2026-05-22
PROD-0022,Monitor 24 Polegadas,Eletronicos,1676.00,false,7508,15,252,9617055.72,17771.16,582,0,0.0775,1246,3.52,70.79,127,110,59.1181,Problematico,2026-05-22
PROD-0023,Monitor 27 Polegadas,Eletronicos,2146.00,true,9213,72,401,15118171.20,106858.41,268,0,0.0291,1540,3.67,74.81,138,127,66.7609,Top Vendedor,2026-05-22
PROD-0024,Mouse Sem Fio,Eletronicos,325.00,false,4101,3,63,1040077.50,692.17,331,0,0.0807,653,3.47,68.91,115,110,35.6609,Problematico,2026-05-22
PROD-0025,Mouse Gamer,Eletronicos,254.00,true,3975,22,67,798729.59,4073.18,324,0,0.0815,690,3.55,72.17,121,126,32.8512,Problematico,2026-05-22
PROD-0026,Teclado Mecânico,Eletronicos,501.00,true,5746,37,283,2277491.08,13386.59,173,0,0.0301,961,3.70,77.73,128,124,44.8906,Top Vendedor,2026-05-22
PROD-0027,Teclado sem Fio,Eletronicos,146.00,true,3964,21,84,465040.91,2271.88,347,0,0.0875,651,3.60,73.12,124,115,31.9677,Problematico,2026-05-22
PROD-0028,Carregador Turbo,Eletronicos,163.00,true,3979,0,48,511839.17,0.00,378,0,0.0950,693,3.56,72.15,116,152,34.3017,Problematico,2026-05-22
PROD-0029,Carregador Sem Fio,Eletronicos,245.00,true,4546,54,389,873906.22,9047.88,201,0,0.0442,789,3.75,76.93,121,126,37.5702,Top Vendedor,2026-05-22
PROD-0030,Película de Vidro,Eletronicos,52.00,false,3944,9,55,162697.59,305.93,341,0,0.0865,638,3.55,71.63,139,115,28.3741,Problematico,2026-05-22
PROD-0031,Capinha de Celular,Eletronicos,80.00,false,4010,13,23,254851.81,717.91,316,0,0.0788,670,3.56,71.04,112,112,35.8036,Problematico,2026-05-22
PROD-0032,Headset Bluetooth,Eletronicos,0.00,true,1105,29,212,84337.03,2024.16,81,0,0.0733,171,3.58,78.36,104,136,10.6250,Problematico,2026-05-22
PROD-0033,HD Externo 1TB,Eletronicos,369.00,true,1156,44,224,316592.93,11456.84,73,0,0.0631,176,3.60,73.30,127,135,9.1024,Top Vendedor,2026-05-22
PROD-0034,HD Externo 2TB,Eletronicos,806.00,true,7414,48,194,4617343.05,27249.99,546,0,0.0736,1267,3.50,69.85,131,122,56.5954,Problematico,2026-05-22
PROD-0035,Pen Drive 64GB,Eletronicos,147.00,true,4149,3,44,480756.15,297.08,297,0,0.0716,678,3.51,71.39,135,148,30.7333,Problematico,2026-05-22
PROD-0036,Pen Drive 128GB,Eletronicos,151.00,true,4697,74,448,556286.13,8142.04,232,0,0.0494,760,3.72,74.34,110,113,42.7000,Top Vendedor,2026-05-22
PROD-0037,Webcam Full HD,Eletronicos,252.00,true,4154,8,35,838158.59,897.16,355,0,0.0855,721,3.57,71.71,134,124,31.0000,Problematico,2026-05-22
PROD-0038,Impressora Multifuncional,Sem categoria,1176.00,false,8867,70,416,8494995.27,60667.69,268,0,0.0302,1524,3.61,73.43,129,125,68.7364,Top Vendedor,2026-05-22
PROD-0039,Roteador Wi-Fi,Eletronicos,254.00,true,3895,20,40,784348.69,2791.90,303,0,0.0778,688,3.62,73.11,122,126,31.9262,Problematico,2026-05-22
PROD-0040,Drone com Câmera,Eletronicos,2588.00,false,7655,37,233,15276181.87,65241.51,547,0,0.0715,1282,3.53,69.34,101,120,75.7921,Problematico,2026-05-22
PROD-0041,Console de Videogame,Eletronicos,4154.00,true,9097,60,459,29027823.82,150609.80,275,0,0.0302,1494,3.70,76.10,117,117,77.7521,Top Vendedor,2026-05-22
PROD-0042,Controle Sem Fio,Sem categoria,313.00,true,5731,49,267,1458265.46,9987.77,176,0,0.0307,970,3.71,77.63,115,124,49.8348,Top Vendedor,2026-05-22
PROD-0043,Aspirador Robô,Eletronicos,1549.00,true,4393,64,362,5136291.93,64097.68,154,0,0.0351,722,3.74,78.39,117,146,37.5470,Top Vendedor,2026-05-22
PROD-0044,Suporte para Notebook,Sem categoria,153.00,true,1388,35,224,167570.00,3683.01,88,0,0.0634,210,3.66,72.86,118,124,11.7627,Top Vendedor,2026-05-22
PROD-0045,Hub USB 7 Portas,Eletronicos,0.00,true,4064,13,70,326977.88,991.94,312,0,0.0768,728,3.56,71.15,103,123,39.4563,Problematico,2026-05-22
PROD-0046,Adaptador HDMI,Eletronicos,112.00,true,4086,14,41,367063.29,1116.84,310,0,0.0759,726,3.61,73.14,106,142,38.5472,Problematico,2026-05-22
PROD-0047,Cabo USB-C 2m,Sem categoria,59.00,true,6026,40,278,292599.24,1679.86,175,0,0.0290,1042,3.67,76.30,114,150,52.8596,Estavel,2026-05-22
PROD-0048,Bateria Portátil 20000mAh,Eletronicos,0.00,true,3930,15,31,314534.87,1068.47,336,0,0.0855,674,3.55,70.92,125,137,31.4400,Problematico,2026-05-22
PROD-0049,Notebook Gamer,Eletronicos,4182.00,true,4519,40,271,14242009.95,114568.14,187,0,0.0414,763,3.70,77.59,120,119,37.6583,Top Vendedor,2026-05-22
PROD-0050,Smart Watch,Eletronicos,1018.00,false,4510,85,381,3421766.36,55126.60,176,0,0.0390,710,3.70,77.32,105,123,42.9524,Top Vendedor,2026-05-22
PROD-0051,Smartband Fitness,Eletronicos,504.00,false,4732,64,424,1895459.71,22150.07,215,0,0.0454,776,3.58,73.07,118,135,40.1017,Top Vendedor,2026-05-22
PROD-0052,Impressora Térmica,Eletronicos,0.00,true,5419,43,230,427452.49,2675.86,184,0,0.0340,866,3.74,76.56,131,151,41.3664,Top Vendedor,2026-05-22
PROD-0053,SSD Externo 480GB,Eletronicos,310.00,true,4111,9,56,1015047.54,1971.97,322,0,0.0783,701,3.51,69.61,118,112,34.8390,Problematico,2026-05-22
PROD-0054,Microfone USB Condensador,Eletronicos,401.00,true,5727,75,304,1841832.66,21977.94,159,0,0.0278,949,3.67,74.82,104,126,55.0673,Top Vendedor,2026-05-22
PROD-0055,Estabilizador 1000VA,Eletronicos,349.00,true,4018,13,43,1104051.39,2510.51,326,0,0.0811,664,3.44,67.77,114,116,35.2456,Problematico,2026-05-22
PROD-0056,Nobreak 1000VA,Eletronicos,518.00,false,4045,11,36,1668513.86,4120.06,310,0,0.0766,674,3.57,72.11,101,148,40.0495,Problematico,2026-05-22
PROD-0057,Switch HDMI 4K,Eletronicos,200.00,true,1066,45,182,156502.72,6500.52,72,0,0.0675,171,3.76,81.29,122,142,8.7377,Top Vendedor,2026-05-22
PROD-0058,Suporte para Monitor,Eletronicos,124.00,true,4034,1,59,401707.53,80.15,357,0,0.0885,721,3.60,72.82,106,140,38.0566,Problematico,2026-05-22
PROD-0059,Mesa Digitalizadora,Eletronicos,479.00,true,3827,15,49,1459050.78,5077.19,327,0,0.0854,670,3.63,73.43,120,122,31.8917,Problematico,2026-05-22
PROD-0060,Placa de Captura HDMI,Eletronicos,450.00,true,5474,57,288,1980290.89,17591.94,161,0,0.0294,917,3.67,73.17,144,127,38.0139,Top Vendedor,2026-05-22
PROD-0061,Leitor Código de Barras,Eletronicos,344.00,true,5380,40,257,1477468.68,9802.80,160,0,0.0297,917,3.66,74.81,109,128,49.3578,Top Vendedor,2026-05-22
PROD-0062,Impressora Fotográfica,Eletronicos,784.00,false,5717,61,341,3569726.00,34501.94,179,0,0.0313,913,3.72,76.45,116,117,49.2845,Top Vendedor,2026-05-22
PROD-0063,Caixinha de Som Mini,Eletronicos,0.00,true,4547,72,457,350581.27,5147.34,202,0,0.0444,734,3.71,75.48,128,116,35.5234,Top Vendedor,2026-05-22
PROD-0064,Camiseta Masculina Algodão,Vestuario,55.00,true,1589,8,60,68404.08,323.64,50,0,0.0315,280,3.66,78.21,113,117,14.0619,Estavel,2026-05-22
PROD-0065,Camiseta Feminina Algodão,Sem categoria,65.00,true,1535,7,46,81427.95,308.23,41,0,0.0267,272,3.69,75.74,112,123,13.7054,Estavel,2026-05-22
PROD-0066,Camiseta Polo Masculina,Vestuario,102.00,false,796,7,28,64825.57,499.14,28,0,0.0352,140,3.77,77.14,107,126,7.4393,Estavel,2026-05-22
PROD-0067,Camiseta Polo Feminina,Vestuario,147.00,true,724,5,11,83448.42,106.16,11,0,0.0152,125,3.77,80.80,121,128,5.9835,Estavel,2026-05-22
PROD-0068,Calça Jeans Masculina,Vestuario,205.00,true,780,9,34,123609.59,1351.83,26,0,0.0333,130,3.58,75.38,108,139,7.2222,Estavel,2026-05-22
PROD-0069,Calça Jeans Feminina,Vestuario,181.00,true,753,0,28,104121.39,0.00,24,0,0.0319,129,3.64,74.42,118,119,6.3814,Estavel,2026-05-22
PROD-0070,Calça Social Masculina,Vestuario,164.00,true,670,10,37,83385.11,1144.38,14,0,0.0209,114,3.70,74.56,122,130,5.4918,Estavel,2026-05-22
PROD-0071,Vestido Floral,Vestuario,234.00,true,750,8,24,136860.63,1321.68,17,0,0.0227,140,3.75,75.71,110,124,6.8182,Estavel,2026-05-22
PROD-0072,Vestido Longo,Vestuario,228.00,true,686,5,32,122893.81,715.00,17,0,0.0248,126,3.68,76.98,122,135,5.6230,Estavel,2026-05-22
PROD-0073,Moletom com Capuz,Vestuario,0.00,true,1520,10,92,118409.20,687.01,45,0,0.0296,236,3.75,75.00,128,130,11.8750,Estavel,2026-05-22
PROD-0074,Jaqueta Corta Vento,Vestuario,394.00,true,375,1,9,111427.07,293.57,11,0,0.0293,53,3.68,77.36,139,129,2.6978,Estavel,2026-05-22
PROD-0075,Jaqueta de Couro,Vestuario,,true,1444,11,60,109615.06,793.41,44,0,0.0305,250,3.66,77.60,121,123,11.9339,Estavel,2026-05-22
PROD-0076,Jaqueta Impermeável,Vestuario,367.00,true,341,6,20,97718.11,1523.94,11,0,0.0323,51,3.49,76.47,127,135,2.6850,Estavel,2026-05-22
PROD-0077,Jaqueta Jeans,Vestuario,114.00,false,732,7,34,62386.57,563.68,12,0,0.0164,124,3.76,77.42,118,137,6.2034,Estavel,2026-05-22
PROD-0078,Tênis Casual Masculino,Vestuario,452.00,true,413,0,5,152142.94,0.00,13,0,0.0315,57,3.57,77.19,91,116,4.5385,Estavel,2026-05-22
PROD-0079,Tênis Casual Feminino,Vestuario,495.00,true,342,1,15,130289.76,384.73,9,0,0.0263,44,3.32,70.45,128,138,2.6719,Estavel,2026-05-22
PROD-0080,Tênis Esportivo,Vestuario,440.00,true,385,0,6,128178.55,0.00,15,0,0.0390,71,3.83,78.87,112,132,3.4375,Estavel,2026-05-22
PROD-0081,Tênis de Corrida,Vestuario,157.00,true,713,6,20,87272.70,604.51,12,0,0.0168,108,3.74,78.70,134,135,5.3209,Estavel,2026-05-22
PROD-0082,Meia Esportiva Kit com 3,Vestuario,,true,1517,18,77,116812.61,1241.15,44,0,0.0290,250,3.71,76.00,142,130,10.6831,Estavel,2026-05-22
PROD-0083,Cueca Kit com 3,Vestuario,115.00,true,766,8,69,67457.42,617.04,35,0,0.0457,118,3.42,67.80,115,143,6.6609,Estavel,2026-05-22
PROD-0084,Sutiã Conforto,Vestuario,117.00,true,703,17,29,66191.80,1302.79,16,0,0.0228,113,3.79,81.42,124,119,5.6694,Estavel,2026-05-22
PROD-0085,Shorts Academia,Vestuario,42.00,true,1424,4,50,46770.06,112.63,53,0,0.0372,211,3.69,76.30,110,126,12.9455,Estavel,2026-05-22
PROD-0086,Legging Feminina,Vestuario,73.00,true,1463,20,62,82400.21,998.19,62,0,0.0424,268,3.58,71.64,130,127,11.2538,Estavel,2026-05-22
PROD-0087,Bermuda Masculina,Sem categoria,75.00,true,1615,0,59,98176.71,0.00,39,0,0.0241,268,3.78,77.99,123,122,13.1301,Estavel,2026-05-22
PROD-0088,Casaco de Inverno,Vestuario,447.00,true,244,0,8,84815.53,0.00,12,0,0.0492,59,3.47,66.10,123,128,1.9837,Estavel,2026-05-22
PROD-0089,Blusa de Frio,Vestuario,235.00,true,780,8,37,144151.95,1352.63,21,0,0.0269,123,3.69,79.67,135,117,5.7778,Estavel,2026-05-22
PROD-0090,Pijama Adulto,Vestuario,174.00,false,747,2,45,101693.21,230.01,21,0,0.0281,128,3.61,70.31,125,114,5.9760,Estavel,2026-05-22
PROD-0091,Mochila Escolar,Vestuario,323.00,true,344,9,20,87161.81,2212.98,10,0,0.0291,49,3.69,75.51,128,152,2.6875,Top Vendedor,2026-05-22
PROD-0092,Mochila Executiva,Vestuario,386.00,false,277,0,6,82545.20,0.00,11,0,0.0397,50,3.84,76.00,124,145,2.2339,Estavel,2026-05-22
PROD-0093,Bolsa Feminina,Vestuario,199.00,true,741,3,53,116990.44,433.87,12,0,0.0162,120,3.83,79.17,113,142,6.5575,Estavel,2026-05-22
PROD-0094,Carteira Masculina,Vestuario,168.00,true,666,0,24,87005.09,0.00,15,0,0.0225,104,3.76,75.96,127,124,5.2441,Estavel,2026-05-22
PROD-0095,Cinto de Couro,Vestuario,51.00,true,1536,11,54,62269.28,280.63,27,0,0.0176,244,3.65,72.54,107,134,14.3551,Estavel,2026-05-22
PROD-0096,Boné Aba Curva,Vestuario,57.00,true,1388,12,80,61867.64,474.09,42,0,0.0303,247,3.61,74.90,103,138,13.4757,Estavel,2026-05-22
PROD-0097,Chapéu de Palha,Vestuario,75.00,true,1242,3,28,72134.32,177.75,40,0,0.0322,228,3.60,75.00,127,131,9.7795,Estavel,2026-05-22
PROD-0098,Luvas de Inverno,Vestuario,98.00,true,1430,6,68,107405.64,384.35,41,0,0.0287,241,3.76,78.42,117,150,12.2222,Estavel,2026-05-22
PROD-0099,Cachecol de Lã,Vestuario,79.00,false,1526,11,63,92437.67,581.71,41,0,0.0269,247,3.68,71.26,112,127,13.6250,Estavel,2026-05-22
PROD-0100,Chinelo Masculino,Sem categoria,59.00,false,1480,16,60,69400.20,679.24,46,0,0.0311,248,3.61,72.18,124,141,11.9355,Estavel,2026-05-22
PROD-0101,Chinelo Feminino,Vestuario,70.00,false,1534,5,39,84552.09,255.86,30,0,0.0196,254,3.67,79.53,110,121,13.9455,Estavel,2026-05-22
PROD-0102,Sandália Feminina,Vestuario,249.00,true,672,6,20,128615.28,1006.53,22,0,0.0327,132,3.59,68.18,117,120,5.7436,Estavel,2026-05-22
PROD-0103,Sapato Social Masculino,Vestuario,306.00,true,275,0,36,65448.12,0.00,15,0,0.0545,38,3.89,84.21,122,137,2.2541,Estavel,2026-05-22
PROD-0104,Óculos de Sol,Vestuario,128.00,false,668,4,21,67390.34,332.93,21,0,0.0314,104,3.70,74.04,108,109,6.1852,Estavel,2026-05-22
PROD-0105,Regata Masculina,Vestuario,-100.00,true,1524,8,102,118367.71,598.12,39,0,0.0256,230,3.77,78.26,127,109,12.0000,Estavel,2026-05-22
PROD-0106,Regata Feminina,Vestuario,47.00,false,1455,18,86,52831.65,577.04,58,0,0.0399,239,3.69,77.82,129,114,11.2791,Estavel,2026-05-22
PROD-0107,Calça Moletom,Vestuario,116.00,false,742,4,42,66015.95,324.43,23,0,0.0310,130,3.65,76.92,97,120,7.6495,Estavel,2026-05-22
PROD-0108,Camisa Social Masculina,Vestuario,298.00,true,769,7,37,176917.71,1384.36,27,0,0.0351,128,3.72,75.78,117,119,6.5726,Estavel,2026-05-22
PROD-0109,Blusa de Seda Feminina,Vestuario,267.00,true,652,5,21,133928.97,1003.71,22,0,0.0337,98,3.64,77.55,119,135,5.4790,Estavel,2026-05-22
PROD-0110,Top Esportivo,Vestuario,116.00,false,759,6,18,69075.07,432.75,30,0,0.0395,131,3.89,84.73,125,117,6.0720,Estavel,2026-05-22
PROD-0111,Camiseta Dry Fit,Vestuario,90.00,true,1563,6,63,108103.13,356.21,50,0,0.0320,244,3.70,75.00,126,150,12.4048,Estavel,2026-05-22
PROD-0112,Conjunto Esportivo,Vestuario,,true,1542,11,84,118795.84,779.99,41,0,0.0266,252,3.57,70.63,106,130,14.5472,Estavel,2026-05-22
PROD-0113,Meia-calça Feminina,Vestuario,27.00,false,1559,9,66,32480.09,96.58,39,0,0.0250,258,3.68,79.46,121,105,12.8843,Estavel,2026-05-22
PROD-0114,Roupa de Banho Masculina,Vestuario,63.00,true,1485,9,67,73127.75,374.80,39,0,0.0263,255,3.65,77.65,127,125,11.6929,Estavel,2026-05-22
PROD-0115,Biquíni,Vestuario,197.00,true,683,11,38,106321.98,1095.38,23,0,0.0337,112,3.63,74.11,106,121,6.4434,Estavel,2026-05-22
PROD-0116,Bermuda de Ciclismo,Vestuario,184.00,true,747,7,30,106107.17,919.61,25,0,0.0335,112,3.90,84.82,127,130,5.8819,Estavel,2026-05-22
PROD-0117,Camiseta Ciclismo,Vestuario,187.00,true,693,7,34,101572.66,957.89,18,0,0.0260,127,3.77,79.53,118,125,5.8729,Estavel,2026-05-22
PROD-0118,Kit Pijama Casal,Vestuario,302.00,false,282,5,7,65529.88,1132.05,10,0,0.0355,45,3.78,84.44,122,131,2.3115,Estavel,2026-05-22
PROD-0119,Roupão de Banho,Sem categoria,193.00,false,636,9,36,95921.83,1243.37,27,0,0.0425,115,3.77,76.52,118,130,5.3898,Estavel,2026-05-22
PROD-0120,Camisola Feminina,Vestuario,115.00,false,705,4,42,63356.56,288.42,20,0,0.0284,134,3.77,78.36,120,123,5.8750,Estavel,2026-05-22
PROD-0121,Suéter Masculino,Vestuario,222.00,true,768,2,17,130965.78,336.26,33,0,0.0430,152,3.72,73.03,123,126,6.2439,Estavel,2026-05-22
PROD-0122,Blusa de Tricô,Vestuario,157.00,true,726,8,26,88511.39,814.60,27,0,0.0372,119,3.86,78.99,137,116,5.2993,Estavel,2026-05-22
PROD-0123,Colete Masculino,Vestuario,117.00,true,763,3,16,68528.16,255.09,19,0,0.0249,142,3.70,75.35,101,143,7.5545,Estavel,2026-05-22
PROD-0124,Gravata,Vestuario,58.00,true,1471,20,72,66871.96,680.08,50,0,0.0340,233,3.69,73.39,107,112,13.7477,Estavel,2026-05-22
PROD-0125,Suspensório,Vestuario,66.00,true,1551,8,73,79004.31,391.37,50,0,0.0322,240,3.65,75.42,101,122,15.3564,Estavel,2026-05-22
PROD-0126,Conjunto de Panelas 5 Peças,Sem categoria,203.00,true,691,8,43,113188.03,1190.05,27,0,0.0391,113,3.65,79.65,120,123,5.7583,Estavel,2026-05-22
PROD-0127,Conjunto de Panelas 3 Peças,Casa,400.00,true,297,0,4,94007.08,0.00,9,0,0.0303,53,3.64,77.36,129,144,2.3023,Estavel,2026-05-22
PROD-0128,Jogo de Lençol Casal,Casa,266.00,true,706,5,30,149109.34,1026.34,21,0,0.0297,122,3.63,76.23,115,117,6.1391,Estavel,2026-05-22
PROD-0129,Jogo de Lençol Solteiro,Casa,102.00,true,892,7,51,73714.15,535.47,34,0,0.0381,151,3.64,75.50,98,128,9.1020,Estavel,2026-05-22
PROD-0130,Edredom Casal,Casa,374.00,true,280,2,19,80112.49,588.39,3,0,0.0107,40,3.60,77.50,116,122,2.4138,Estavel,2026-05-22
PROD-0131,Edredom Solteiro,Casa,111.00,true,705,3,23,62334.68,244.01,23,0,0.0326,100,3.87,84.00,121,123,5.8264,Estavel,2026-05-22
PROD-0132,Travesseiro Viscoelástico,Casa,174.00,true,772,0,43,106325.46,0.00,19,0,0.0246,122,3.69,75.41,103,125,7.4951,Estavel,2026-05-22
PROD-0133,Travesseiro de Pluma,Casa,198.00,false,656,9,44,102741.32,1358.63,25,0,0.0381,115,3.82,76.52,110,127,5.9636,Estavel,2026-05-22
PROD-0134,Cobertor Casal,Casa,0.00,true,1364,2,53,110376.85,160.75,42,0,0.0308,257,3.66,75.49,111,137,12.2883,Estavel,2026-05-22
PROD-0135,Toalha de Banho,Casa,37.00,true,1517,8,84,45375.59,227.80,47,0,0.0310,267,3.68,71.16,136,119,11.1544,Estavel,2026-05-22
PROD-0136,Jogo de Toalhas 4 Peças,Casa,258.00,false,731,10,34,153234.90,1892.98,28,0,0.0383,114,3.61,74.56,122,118,5.9918,Top Vendedor,2026-05-22
PROD-0137,Tapete Sala 2x3m,Casa,267.00,true,677,5,41,146307.71,211.99,20,0,0.0295,110,3.83,79.09,147,116,4.6054,Estavel,2026-05-22
PROD-0138,Tapete Banheiro,Casa,43.00,false,1516,16,86,52380.39,381.25,47,0,0.0310,250,3.62,72.00,120,141,12.6333,Estavel,2026-05-22
PROD-0139,Almofada Decorativa,Casa,114.00,true,702,9,26,64478.02,735.05,20,0,0.0285,123,3.73,72.36,101,124,6.9505,Estavel,2026-05-22
PROD-0140,Kit de Almofadas 4 Peças,Casa,183.00,true,741,10,28,109866.44,1351.01,22,0,0.0297,123,3.70,74.80,113,116,6.5575,Estavel,2026-05-22
PROD-0141,Luminária de Mesa,Casa,188.00,false,769,9,36,117266.91,1282.41,25,0,0.0325,132,3.63,72.73,139,131,5.5324,Estavel,2026-05-22
PROD-0142,Luminária de Piso,Casa,468.00,false,311,7,15,123214.68,2453.41,10,0,0.0322,50,3.92,86.00,112,130,2.7768,Top Vendedor,2026-05-22
PROD-0143,Porta Retratos,Casa,,false,1436,21,58,116466.18,1197.19,35,0,0.0244,269,3.75,78.81,119,128,12.0672,Estavel,2026-05-22
PROD-0144,Vaso Decorativo,Casa,155.00,true,727,5,34,90064.49,565.05,18,0,0.0248,133,3.67,77.44,114,147,6.3772,Estavel,2026-05-22
PROD-0145,Organizador de Gaveta,Casa,91.00,false,1480,5,55,109803.65,129.88,33,0,0.0223,233,3.75,78.11,117,114,12.6496,Estavel,2026-05-22
PROD-0146,Cabide de Parede,Casa,64.00,false,1478,14,78,75946.43,669.40,47,0,0.0318,247,3.65,75.30,121,127,12.2149,Estavel,2026-05-22
PROD-0147,Cortina Blackout 2 Peças,Casa,178.00,true,731,5,52,105859.68,639.20,27,0,0.0369,138,3.66,73.91,127,136,5.7559,Estavel,2026-05-22
PROD-0148,Persiana Horizontal,Casa,181.00,true,786,0,31,115767.97,0.00,23,0,0.0293,129,3.78,75.97,121,131,6.4959,Estavel,2026-05-22
PROD-0149,Jogo de Banheiro 3 Peças,Casa,94.00,true,1421,6,48,110083.27,405.30,44,0,0.0310,255,3.60,72.16,129,130,11.0155,Estavel,2026-05-22
PROD-0150,Espelho de Parede,Casa,168.00,false,729,4,30,100162.25,490.80,24,0,0.0329,111,3.63,76.58,129,134,5.6512,Estavel,2026-05-22
PROD-0151,Porta Temperos,Casa,79.00,true,1563,13,48,99043.10,778.28,56,0,0.0358,270,3.67,74.44,119,137,13.1345,Estavel,2026-05-22
PROD-0152,Tábua de Corte Bambu,Sem categoria,31.00,false,1431,10,61,35419.84,212.75,48,0,0.0335,253,3.66,76.28,132,127,10.8409,Estavel,2026-05-22
PROD-0153,Conjunto de Potes Herméticos,Casa,90.00,false,1334,4,43,98226.37,237.07,45,0,0.0337,249,3.67,73.09,120,126,11.1167,Estavel,2026-05-22
PROD-0154,Chaleira Elétrica,Casa,206.00,false,718,3,35,118719.80,468.98,23,0,0.0320,107,3.60,72.90,117,143,6.1368,Estavel,2026-05-22
PROD-0155,Fritadeira Air Fryer 4L,Casa,258.00,true,738,11,66,153336.23,2078.12,15,0,0.0203,107,3.61,75.70,119,130,6.2017,Top Vendedor,2026-05-22
PROD-0156,Liquidificador 700W,Casa,161.00,false,740,14,47,96719.92,1605.10,19,0,0.0257,121,3.68,75.21,99,149,7.4747,Estavel,2026-05-22
