ano,mes,ano_mes,qtd_pedidos,qtd_pedidos_aprovados,qtd_pedidos_recusados,qtd_pedidos_reembolsados,qtd_pedidos_processando,receita_bruta,ticket_medio,qtd_clientes_unicos,qtd_clientes_novos,taxa_aprovacao,taxa_recusa,taxa_reembolso,categoria_mais_vendida,estado_maior_receita,data_referencia_calculo
2024,5,2024-05,7906,7355,320,162,69,12165214.36,1654.01,6706,962,93.03,4.05,2.05,Eletronicos,São Paulo,2026-05-22
2024,6,2024-06,12201,11356,480,255,110,20035924.11,1764.35,9940,1281,93.07,3.93,2.09,Eletronicos,São Paulo,2026-05-22
2024,7,2024-07,7874,7333,295,165,81,11604805.04,1582.55,6686,643,93.13,3.75,2.10,Eletronicos,São Paulo,2026-05-22
2024,8,2024-08,8314,7711,366,157,80,12850582.07,1666.53,7002,642,92.75,4.40,1.89,Eletronicos,São Paulo,2026-05-22
2024,9,2024-09,8199,7633,317,175,74,12531260.45,1641.72,6956,543,93.10,3.87,2.13,Eletronicos,São Paulo,2026-05-22
2024,10,2024-10,8773,8147,373,168,85,14018433.14,1720.69,7391,470,92.86,4.25,1.91,Eletronicos,São Paulo,2026-05-22
2024,11,2024-11,14784,13792,551,303,138,30117880.82,2183.72,11801,662,93.29,3.73,2.05,Eletronicos,São Paulo,2026-05-22
2024,12,2024-12,11727,10882,494,241,110,22872514.91,2101.87,9577,416,92.79,4.21,2.06,Eletronicos,São Paulo,2026-05-22
2025,1,2025-01,8409,7832,318,166,93,10871976.97,1388.15,7148,250,93.14,3.78,1.97,Eletronicos,São Paulo,2026-05-22
2025,2,2025-02,7634,7104,305,147,78,9531323.25,1341.68,6518,201,93.06,4.00,1.93,Eletronicos,São Paulo,2026-05-22
2025,3,2025-03,7891,7334,316,159,82,10820068.27,1475.33,6702,170,92.94,4.00,2.01,Eletronicos,São Paulo,2026-05-22
2025,4,2025-04,7693,7159,284,158,92,10759108.31,1502.88,6546,121,93.06,3.69,2.05,Eletronicos,São Paulo,2026-05-22
2025,5,2025-05,7927,7353,350,157,67,11697085.46,1590.79,6727,142,92.76,4.42,1.98,Eletronicos,São Paulo,2026-05-22
2025,6,2025-06,7321,6853,260,129,79,11696928.82,1706.83,6273,105,93.61,3.55,1.76,Eletronicos,São Paulo,2026-05-22
2025,7,2025-07,7146,6625,284,158,79,9887341.21,1492.43,6098,83,92.71,3.97,2.21,Eletronicos,São Paulo,2026-05-22
2025,8,2025-08,6751,4068,1274,1115,294,6461449.99,1588.36,3860,57,60.26,18.87,16.52,Eletronicos,São Paulo,2026-05-22
2025,9,2025-09,6202,3263,1036,1606,297,4962122.35,1520.72,3131,40,52.61,16.70,25.89,Eletronicos,São Paulo,2026-05-22
2025,10,2025-10,5804,3349,1023,1179,253,5402042.24,1613.03,3200,40,57.70,17.63,20.31,Eletronicos,São Paulo,2026-05-22
2025,11,2025-11,4803,3743,466,433,161,8216706.54,2195.22,3560,42,77.93,9.70,9.02,Eletronicos,São Paulo,2026-05-22
2025,12,2025-12,4024,3745,159,78,42,8156080.42,2177.86,3529,29,93.07,3.95,1.94,Eletronicos,São Paulo,2026-05-22
2026,1,2026-01,5105,4730,216,118,41,6395811.64,1352.18,3837,700,92.65,4.23,2.31,Eletronicos,São Paulo,2026-05-22
2026,2,2026-02,5699,5292,215,134,58,7236793.74,1367.50,4585,678,92.86,3.77,2.35,Eletronicos,São Paulo,2026-05-22
2026,3,2026-03,6850,6386,280,118,66,9390590.37,1470.50,5602,801,93.23,4.09,1.72,Eletronicos,São Paulo,2026-05-22
2026,4,2026-04,2640,2463,97,51,29,3583774.95,1455.04,2370,20,93.30,3.67,1.93,Eletronicos,São Paulo,2026-05-22
2026,5,2026-05,1334,1239,52,22,21,1792524.90,1446.75,1191,8,92.88,3.90,1.65,Eletronicos,São Paulo,2026-05-22
